,Mn/Fe,Mn/Sr,Sr/Ca
SJ-1_377,0.162139486,0.254584279,0.000971985
SJ-1_378,0.196430564,0.337684157,0.000853098
SJ-1_379,0.21006123,0.3484591,0.000964064
SJ-1_380,0.188521543,0.426280385,0.000790387
SJ-1_381,0.156440319,0.429511358,0.000867885
SJ-1_382,0.144628554,0.31090696,0.001131448
SJ-1_383,0.133292419,0.363185283,0.000896875
SJ-1_384,0.113837712,0.381773623,0.000831858
SJ-1_385,0.215237063,0.271449303,0.001473729
SJ-1_386,0.249274875,0.537028009,0.000888358
SJ-1_387,0.212339823,0.511904627,0.00099286
SJ-1_388,0.11886039,0.336079981,0.000922458
SJ-1_389,0.150042812,0.470785578,0.000421707
SJ-1_390,0.14161808,0.409876704,0.000532633
SJ-1_391,0.25183059,0.67736881,0.000812717
SJ-1_392,0.303437475,0.800655034,0.001048476
SJ-1_393,0.136592352,0.32943264,0.001245155
SJ-1_394,0.118794499,0.34337471,0.001001283
SJ-1_395,0.077503523,0.338650034,0.000638793
SJ-1_396,0.071395746,0.388754913,0.001000192
SJ-1_397,0.100250019,0.78187664,0.000735902
SJ-1_398,0.105617737,0.788478248,0.000740219
SJ-1_399,0.105986039,0.770198942,0.000553574
SJ-1_400,0.111039142,0.76819639,0.000734803
SJ-1_401,0.08019583,0.832820689,0.000853573
SJ-1_402,0.077833523,0.803659802,0.000788356
SJ-1_403,0.05622887,0.673769624,0.000535746
SJ-1_404,0.06179948,0.869217783,0.00057581
SJ-1_405,0.06447997,0.946173053,0.000396594
SJ-1_406,0.080398322,0.552002061,0.000581573
SJ-1_407,0.077367371,0.419328482,0.000779965
SJ-1_408,0.073053146,0.360324157,0.00204049
SJ-1_409,0.080074896,0.342406236,0.001720449
SJ-1_410,0.117657461,0.46527201,0.001515163
SJ-1_411,0.168911834,0.486195754,0.000838044
SJ-1_412,0.108605849,0.347045854,0.000774169
SJ-1_413,0.077478418,0.296388884,0.000819631
SJ-1_414,0.052831679,0.371420367,0.000724776
SJ-1_415,0.06248203,0.509959664,0.000759002
SJ-1_416,0.053900505,0.269265711,0.00097139
SJ-1_417,0.058491236,0.334819007,0.00141201
SJ-1_418,0.064332948,0.479504757,0.000666954
SJ-1_419,0.065248004,0.589280863,0.000479335
SJ-1_420,0.053902184,0.582628146,0.000405672
SJ-1_421,0.065225138,0.661147298,0.000327873
SJ-1_422,0.060240067,0.624738743,0.000406396
SJ-1_423,0.070169601,0.549438074,0.000471735
SJ-1_424,0.088794265,0.548436889,0.00065839
SJ-1_425,0.087862337,1.049727654,0.000376805
SJ-1_426,0.076181848,0.954982412,0.000400604
SJ-1_427,0.087500448,1.280218655,0.000374701
SJ-1_428,0.056769805,1.425526323,0.000274198
SJ-1_429,0.076318923,1.220803402,0.000359949
SJ-1_430,0.054765998,1.20115105,0.000306673
SJ-1_431,0.053168238,1.174538464,0.000328331
SJ-1_432,0.057998967,0.750193541,0.000457243
SJ-1_433,0.052870614,1.133599861,0.000300374
SJ-1_434,0.043415316,1.033299855,0.000520687
SJ-1_435,0.061352997,1.375030775,0.000291668
SJ-1_436,0.051727573,0.881582782,0.000311023
SJ-1_437,0.072492339,1.38493671,0.000274096
SJ-1_438,0.084821002,2.060401101,0.000177158
SJ-1_439,0.171748796,2.806302584,0.000313643
SJ-1_440,0.062206109,1.767157723,0.000162854
SJ-1_441,0.080342329,1.478962597,0.00025166
SJ-1_442,0.15893539,1.105631036,0.000391728
SJ-1_443,0.058199125,1.697774439,0.000199663
SJ-1_444,0.047649533,1.595505583,0.000212819
SJ-1_445,0.051518717,1.878483093,0.000212634
SJ-1_446,0.07570012,1.473080223,0.000323306
SJ-1_447,0.072351791,0.978711423,0.000617865
SJ-1_448,0.057582743,1.25096472,0.000591039
SJ-1_449,0.046601773,1.159105944,0.00041322
SJ-1_450,0.035620803,1.067247168,0.000235401
SJ-1_451,0.037706455,1.122774729,0.000177591
SJ-1_452,0.017383737,0.904157353,0.000185743
SJ-1_453,0.030831915,1.171472434,0.000265671
SJ-1_454,0.042441632,1.45300694,0.00027933
SJ-1_455,0.05038263,1.52499941,0.000327597
SJ-1_456,0.044196809,1.400192871,0.00031627
SJ-1_457,0.044020497,1.001719317,0.000509957
SJ-1_458,0.042783735,0.755203973,0.000851054
SJ-1_459,0.032520591,0.987858715,0.000349344
SJ-1_460,0.033164355,0.603669071,0.000375342
SJ-1_461,0.039857021,1.041349113,0.000269688
SJ-1_462,0.054501036,1.225427821,0.00034469
SJ-1_463,0.061348237,1.142074111,0.000432787
SJ-1_464,0.063225488,1.003254196,0.000325052
SJ-1_465,0.027652976,1.30260296,0.000275283
SJ-1_466,0.022688254,1.346680445,0.000267654
SJ-1_467,0.036552946,1.004686679,0.00030399
SJ-1_468,0.054410712,0.909395742,0.000278907
SJ-1_469,0.064465939,0.779717549,0.000378307
SJ-1_470,0.071613371,0.571676967,0.000517974
SJ-1_471,0.073055925,0.479338775,0.000584938
SJ-1_472,0.093638492,0.420673811,0.000770434
SJ-1_473,0.078231241,0.423207596,0.000799877
SJ-1_474,0.078231241,0.423207596,0.000799877
SJ-1_475,0.041722414,0.348822779,0.001064544
